custom_id,response
req-1534,"{""candidates"":[{""avgLogprobs"":-103.23348999023438,""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-103.23348999023438}],""createTime"":""2026-03-12T05:55:42.584663Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""XlWyadfXI827gLUPuuKL0Ak"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":20484},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":6574,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":6574}],""thoughtsTokenCount"":508,""totalTokenCount"":7083,""trafficType"":""ON_DEMAND""}}"
req-1818,"{""candidates"":[{""avgLogprobs"":-0.07451590632637753,""content"":{""parts"":[{""text"":""[\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""Polytetrafluoroethylene PTFE\"",\n    \""record_type\"": \""Tensile Strength\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""23.8 ± 0.55 MPa\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""Polytetrafluoroethylene PTFE\"",\n    \""record_type\"": \""Elongation at Break\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""284 ± 6.20 %\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PAIR\"",\n    \""record_type\"": \""Tensile Strength\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""12.9 ± 0.95 MPa\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PAIR\"",\n    \""record_type\"": \""Elongation at Break\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""146.0 ± 8.30 %\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PBI (nintr = 0.57 dL/g)\"",\n    \""record_type\"": \""Tensile Strength\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""17.6 ± 0.93 MPa\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PBI (nintr = 0.57 dL/g)\"",\n    \""record_type\"": \""Elongation at Break\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""185 ± 9.80 %\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PBI (nintr = 0.88 dL/g)\"",\n    \""record_type\"": \""Tensile Strength\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""18.9 ± 0.75 MPa\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PBI (nintr = 0.88 dL/g)\"",\n    \""record_type\"": \""Elongation at Break\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""205 ± 5.12 %\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PBI (nintr = 0.94 dL/g)\"",\n    \""record_type\"": \""Tensile Strength\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""19.6 ± 0.77 MPa\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + PBI (nintr = 0.94 dL/g)\"",\n    \""record_type\"": \""Elongation at Break\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""210 ± 4.73 %\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + [PBI (nintr = 0.94 dL/g) + PAIR] (50/50)\"",\n    \""record_type\"": \""Tensile Strength\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""13.3 ± 0.44 MPa\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + [PBI (nintr = 0.94 dL/g) + PAIR] (50/50)\"",\n    \""record_type\"": \""Elongation at Break\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""158 ± 7.13 %\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + [PBI (nintr = 0.94 dL/g) + PAIR] (90/10)\"",\n    \""record_type\"": \""Tensile Strength\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""21.7 ± 0.66 MPa\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": \""10.1134/S1070427215060282\"",\n    \""file_path\"": null,\n    \""polymer_name\"": \""PTFE + [PBI (nintr = 0.94 dL/g) + PAIR] (90/10)\"",\n    \""record_type\"": \""Elongation at Break\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""215 ± 5.12 %\"",\n    \""temperature\"": \""Room Temperature\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": \""GOST 11262-80\"",\n    \""test_method\"": \""Instron 3367 tensile machine\"",\n    \""test_conditions\"": \""Crossarm motion velocity: 100 mm/min\"",\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  }\n]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-244.85926818847656}],""createTime"":""2026-03-12T05:55:58.739933Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""blWyad2ULcbwgLUPoLrYqAg"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":19929},""candidatesTokenCount"":3286,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":3286}],""promptTokenCount"":6675,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":6675}],""thoughtsTokenCount"":2294,""totalTokenCount"":12255,""trafficType"":""ON_DEMAND""}}"
req-1519,"{""candidates"":[{""avgLogprobs"":-88.33167266845703,""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-88.33167266845703}],""createTime"":""2026-03-12T05:55:36.379321Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""WFWyabmTF8m8gLUP0qCUsQc"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":20492},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":6825,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":6825}],""thoughtsTokenCount"":596,""totalTokenCount"":7422,""trafficType"":""ON_DEMAND""}}"
req-756,"{""candidates"":[{""avgLogprobs"":-117.6891860961914,""citationMetadata"":{""citations"":[{""endIndex"":1791,""startIndex"":1546,""title"":""Your prompt""}]},""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-117.6891860961914}],""createTime"":""2026-03-12T05:55:37.579843Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""WVWyaYOyI-uD1dkP25G58QM"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":22500},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":7325,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":7325}],""thoughtsTokenCount"":645,""totalTokenCount"":7971,""trafficType"":""ON_DEMAND""}}"
req-419,"{""candidates"":[{""avgLogprobs"":-101.02069854736328,""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-101.02069854736328}],""createTime"":""2026-03-12T05:56:43.712655Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""m1Wyac-_K6Dm1dkPm_iU-As"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":24702},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":7507,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":7507}],""thoughtsTokenCount"":621,""totalTokenCount"":8129,""trafficType"":""ON_DEMAND""}}"
req-488,"{""candidates"":[{""avgLogprobs"":-391.7685852050781,""citationMetadata"":{""citations"":[{""endIndex"":2955,""startIndex"":2723,""title"":""Your prompt""},{""endIndex"":3562,""startIndex"":3271,""title"":""Your prompt""},{""endIndex"":4398,""startIndex"":3950,""title"":""Your prompt""},{""endIndex"":5224,""startIndex"":4951,""title"":""Your prompt""}]},""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-391.7685852050781}],""createTime"":""2026-03-12T05:57:24.954883Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""xFWyaYOkOr2glu8P1q6hsAw"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":22372},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":7558,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":7558}],""thoughtsTokenCount"":2115,""totalTokenCount"":9674,""trafficType"":""ON_DEMAND""}}"
req-688,"{""candidates"":[{""avgLogprobs"":-55.61376190185547,""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-55.61376190185547}],""createTime"":""2026-03-12T05:57:58.170518Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""5lWyaZa0CpCo1dkPr5P14AY"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":24587},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":7572,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":7572}],""thoughtsTokenCount"":369,""totalTokenCount"":7942,""trafficType"":""ON_DEMAND""}}"
req-601,"{""candidates"":[{""avgLogprobs"":-0.3043358650961726,""content"":{""parts"":[{""text"":""[\n  {\n    \""doi\"": null,\n    \""file_path\"": null,\n    \""polymer_name\"": \""Carbon-Polyimide\"",\n    \""record_type\"": \""Tensile Modulus\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""100-1000 GPa\"",\n    \""temperature\"": null,\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": null,\n    \""test_method\"": null,\n    \""test_conditions\"": null,\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": \""depending on composition\""\n  },\n  {\n    \""doi\"": null,\n    \""file_path\"": null,\n    \""polymer_name\"": \""Polyimide\"",\n    \""record_type\"": \""Tensile Modulus\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""3.2 GPa\"",\n    \""temperature\"": null,\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": null,\n    \""test_method\"": null,\n    \""test_conditions\"": null,\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": null,\n    \""file_path\"": null,\n    \""polymer_name\"": \""High Temp Acrylate\"",\n    \""record_type\"": \""Tensile Modulus\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""1 GPa\"",\n    \""temperature\"": \""25 °C\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": null,\n    \""test_method\"": null,\n    \""test_conditions\"": null,\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": null,\n    \""file_path\"": null,\n    \""polymer_name\"": \""High Temp Acrylate\"",\n    \""record_type\"": \""Tensile Modulus\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""0.02 GPa\"",\n    \""temperature\"": \""75 °C\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": null,\n    \""test_method\"": null,\n    \""test_conditions\"": null,\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": null,\n    \""file_path\"": null,\n    \""polymer_name\"": \""Standard Acrylate\"",\n    \""record_type\"": \""Tensile Modulus\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""1 GPa\"",\n    \""temperature\"": \""25 °C\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": null,\n    \""test_method\"": null,\n    \""test_conditions\"": null,\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  },\n  {\n    \""doi\"": null,\n    \""file_path\"": null,\n    \""polymer_name\"": \""Standard Acrylate\"",\n    \""record_type\"": \""Tensile Modulus\"",\n    \""metric_group\"": \""Static Mechanical\"",\n    \""metric_type\"": null,\n    \""value\"": \""0.1 GPa\"",\n    \""temperature\"": \""75 °C\"",\n    \""temperature_range\"": null,\n    \""frequency\"": null,\n    \""test_standard\"": null,\n    \""test_method\"": null,\n    \""test_conditions\"": null,\n    \""test_mode\"": \""Tensile\"",\n    \""measurement_direction\"": null,\n    \""notes\"": null\n  }\n]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-292.4667663574219}],""createTime"":""2026-03-12T05:56:29.754902Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""jVWyadaJLqnFvPEPpqPSwQs"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":24808},""candidatesTokenCount"":961,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":961}],""promptTokenCount"":7595,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":7595}],""thoughtsTokenCount"":2332,""totalTokenCount"":10888,""trafficType"":""ON_DEMAND""}}"
req-130,"{""candidates"":[{""avgLogprobs"":-61.2213249206543,""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-61.2213249206543}],""createTime"":""2026-03-12T05:56:42.285842Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""mlWyaZK5Ec27gLUPuuKL0Ak"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":22838},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":7652,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":7652}],""thoughtsTokenCount"":277,""totalTokenCount"":7930,""trafficType"":""ON_DEMAND""}}"
req-1094,"{""candidates"":[{""avgLogprobs"":-46.410438537597656,""content"":{""parts"":[{""text"":""[]""}],""role"":""model""},""finishReason"":""STOP"",""score"":-46.410438537597656}],""createTime"":""2026-03-12T05:57:48.012187Z"",""modelVersion"":""gemini-2.5-flash"",""responseId"":""3FWyaZtf8be88Q-lvaaQAw"",""usageMetadata"":{""billablePromptUsage"":{""textCount"":23812},""candidatesTokenCount"":1,""candidatesTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":1}],""promptTokenCount"":7657,""promptTokensDetails"":[{""modality"":""TEXT"",""tokenCount"":7657}],""thoughtsTokenCount"":254,""totalTokenCount"":7912,""trafficType"":""ON_DEMAND""}}"
